,arms,bench,broad,fortyyd,hands,heightinchestotal,tenyd,threecone,twentyss,twentyyd,vertical,weight,year,Player,Pos,injured_pct,position_group
303,0.0,23.0,123.0,4.35,0.0,75.0,0.0,6.92,4.14,0.0,36.5,215,2015,Kevin White,WR,0.84,WR
306,0.0,27.0,97.0,5.34,0.0,77.0,0.0,0.0,5.15,0.0,26.0,327,2015,Daryl Williams,OT,0.19,OL
307,0.0,16.0,117.0,4.48,0.0,73.0,0.0,7.16,4.46,0.0,33.5,230,2015,Karlos Williams,RB,0.31,RB
309,0.0,17.0,117.0,4.78,0.0,76.0,0.0,0.0,4.37,0.0,34.5,249,2015,Maxx Williams,TE,0.44,TE
310,0.0,12.0,132.0,4.57,0.0,72.0,0.0,7.08,4.28,0.0,40.0,194,2015,P.J. Williams,CB,0.94,DB
314,0.0,23.0,111.0,4.77,0.0,74.0,0.0,0.0,4.51,0.0,35.0,237,2015,Ramik Wilson,ILB,0.31,LB
317,0.0,34.0,100.0,5.07,0.0,75.0,0.0,7.73,4.56,0.0,26.5,300,2015,Gabe Wright,DT,0.19,DL
318,0.0,22.0,117.0,4.61,0.0,73.0,0.0,7.19,4.22,0.0,36.0,226,2015,T.J. Yeldon,RB,0.16,RB
319,0.0,25.0,121.0,4.6,0.0,71.0,0.0,7.08,4.14,0.0,41.0,223,2015,Zach Zenner,RB,0.62,RB
320,0.0,4.0,117.0,4.5,0.0,73.0,0.0,6.8,4.08,0.0,30.5,195,2014,Jared Abbrederis,WR,0.56,WR
321,0.0,14.0,123.0,4.56,0.0,73.0,0.0,6.82,4.3,0.0,39.5,212,2014,Davante Adams,WR,0.06,WR
323,0.0,13.0,117.0,4.61,0.0,69.0,0.0,0.0,4.15,0.0,35.5,187,2014,Ricardo Allen,CB,0.06,DB
324,0.0,28.0,118.0,4.74,0.0,77.0,0.0,7.42,4.3,0.0,33.0,265,2014,Jace Amaro,TE,0.4,TE
325,0.0,20.0,106.0,4.82,0.0,70.0,0.0,7.24,4.49,0.0,29.5,225,2014,Antonio Andrews,RB,0.12,RB
329,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,252,2014,Jeremiah Attaochu,OLB,0.25,LB
331,0.0,15.0,119.0,4.66,0.0,77.0,0.0,6.82,4.19,0.0,34.5,255,2014,Anthony Barr,OLB,0.19,LB
333,0.0,7.0,122.0,4.43,0.0,71.0,0.0,6.69,3.94,0.0,38.5,198,2014,Odell Beckham,WR,0.12,WR
335,0.0,13.0,119.0,4.61,0.0,77.0,0.0,7.33,4.39,0.0,32.5,240,2014,Kelvin Benjamin,WR,0.5,WR
337,0.0,15.0,117.0,4.71,0.0,70.0,0.0,7.08,4.22,0.0,35.5,193,2014,Nat Berhe,SS,0.42,DB
338,0.0,24.0,106.0,4.67,0.0,69.0,0.0,0.0,0.0,0.0,29.0,212,2014,Kapri Bibbs,RB,0.25,RB
339,0.0,22.0,114.0,4.97,0.0,76.0,0.0,7.37,4.44,0.0,32.0,302,2014,Joel Bitonio,OT,0.53,OL
341,0.0,13.0,121.0,4.63,0.0,74.0,0.0,7.15,4.5,0.0,32.0,223,2014,Alfred Blue,RB,0.04,RB
345,0.0,0.0,115.0,4.93,0.0,77.0,0.0,7.08,4.21,0.0,32.5,232,2014,Blake Bortles,QB,0.0,QB
351,0.0,11.0,123.0,4.62,0.0,71.0,0.0,7.04,4.33,0.0,34.5,197,2014,Bashaud Breeland,CB,0.04,DB
352,0.0,0.0,113.0,0.0,0.0,74.0,0.0,7.17,4.2,0.0,30.0,214,2014,Teddy Bridgewater,QB,0.35,QB
353,0.0,23.0,100.0,5.19,0.0,78.0,0.0,8.14,4.69,0.0,27.5,325,2014,Justin Britt,OT,0.0,OL
355,0.0,10.0,119.0,4.42,0.0,71.0,0.0,7.35,0.0,0.0,38.0,198,2014,Terrence Brooks,FS,0.16,DB
356,0.0,0.0,116.0,4.51,0.0,71.0,0.0,7.16,4.22,0.0,33.0,178,2014,Corey Brown,WR,0.16,WR
357,0.0,0.0,119.0,4.34,0.0,70.0,0.0,6.91,4.12,0.0,36.5,179,2014,John Brown,WR,0.02,WR
359,0.0,23.0,116.0,4.86,0.0,73.0,0.0,6.98,4.26,0.0,33.0,251,2014,Preston Brown,ILB,0.0,LB
360,0.0,16.0,124.0,4.42,0.0,76.0,0.0,7.18,4.15,0.0,39.0,211,2014,Martavis Bryant,WR,0.12,WR
361,0.0,19.0,125.0,4.49,0.0,73.0,0.0,6.96,4.26,0.0,36.5,211,2014,Deone Bucannon,SS,0.06,DB
362,0.0,30.0,112.0,4.78,0.0,75.0,0.0,7.22,4.3,0.0,31.0,249,2014,Max Bullough,ILB,0.16,LB
363,0.0,16.0,115.0,4.58,0.0,70.0,0.0,6.74,3.94,0.0,31.0,188,2014,Isaiah Burse,WR,0.0,WR
364,0.0,0.0,112.0,4.62,0.0,74.0,0.0,7.14,4.32,0.0,30.0,224,2014,Trey Burton,TE,0.04,TE
366,0.0,19.0,115.0,4.7,0.0,69.0,0.0,7.08,4.38,0.0,32.5,207,2014,Ka'Deem Carey,RB,0.12,RB
373,0.0,21.0,124.0,4.53,0.0,77.0,0.0,7.27,0.0,0.0,37.5,266,2014,Jadeveon Clowney,DE,0.35,DL
378,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,177,2014,Aaron Colvin,CB,0.25,DB
379,0.0,16.0,120.0,4.33,0.0,70.0,0.0,6.76,3.81,0.0,36.0,189,2014,Brandin Cooks,WR,0.19,WR
383,0.0,24.0,108.0,4.84,0.0,75.0,0.0,7.19,0.0,0.0,31.5,273,2014,Scott Crichton,DE,0.42,DL
384,0.0,23.0,117.0,4.57,0.0,71.0,0.0,0.0,0.0,0.0,38.0,224,2014,Isaiah Crowell,RB,0.0,RB
385,0.0,15.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,202,2014,Chris Davis,CB,0.44,DB
387,0.0,0.0,0.0,4.77,0.0,76.0,0.0,0.0,0.0,0.0,32.5,235,2014,Anthony Denham,TE,0.0,TE
388,0.0,15.0,0.0,4.51,0.0,71.0,0.0,0.0,0.0,0.0,0.0,199,2014,Darqueze Dennard,CB,0.19,DB
389,0.0,11.0,133.0,4.59,0.0,73.0,0.0,6.86,4.3,0.0,35.0,198,2014,Pierre Desir,CB,0.03,DB
390,0.0,14.0,111.0,4.64,0.0,72.0,0.0,7.55,4.5,0.0,32.0,212,2014,Ahmad Dixon,SS,0.19,DB
392,0.0,35.0,116.0,4.68,0.0,73.0,0.0,7.11,0.0,0.0,32.0,285,2014,Aaron Donald,DT,0.0,DL
396,0.0,22.0,114.0,4.92,0.0,76.0,0.0,6.83,0.0,0.0,31.0,273,2014,Kony Ealy,DE,0.0,DL
397,0.0,26.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,288,2014,Dominique Easley,DT,0.31,DL
398,0.0,24.0,120.0,4.6,0.0,76.0,0.0,0.0,0.0,0.0,32.0,250,2014,Eric Ebron,TE,0.12,TE
401,0.0,15.0,120.0,4.45,0.0,69.0,0.0,6.69,3.95,0.0,39.5,197,2014,Bruce Ellington,WR,0.46,WR
402,0.0,25.0,92.0,5.27,0.0,73.0,0.0,7.81,0.0,0.0,28.0,334,2014,Justin Ellis,DT,0.25,DL
403,0.0,28.0,112.0,5.01,0.0,73.0,0.0,7.67,0.0,0.0,34.0,261,2014,IK Enemkpali,DE,0.56,DL
